,mass,test_statistic
139,115,180.94458818795306
140,115,149.15165542950967
141,115,230.83263318765717
142,115,196.43977367908587
143,115,158.230671833923
144,115,178.4633379050099
145,115,189.64176556982034
146,115,199.9813731640063
147,115,180.2454900663099
148,115,214.48375343343196
149,115,170.68893841914974
150,115,159.1698750012854
151,115,193.89861923354601
152,115,155.18446171309893
153,115,218.2468717025597
154,115,253.88494128254
155,115,184.19060896935162
156,115,233.72965153318637
157,115,207.25710294697365
158,115,220.78333003231592
159,115,203.9047548631529
160,115,184.19147869908716
161,115,183.41403252660007
162,115,184.99109044492275
163,115,202.64435118246843
164,115,183.175619748406
165,115,227.80361304559847
166,115,178.70330943428303
167,115,152.6489414688574
168,115,141.85627562682043
169,115,189.58944797019626
170,115,200.3424522789578
171,115,246.36612662341622
172,115,197.05021810154426
173,115,187.66260562629532
174,115,220.65188885725502
175,115,186.07193997958302
176,115,236.33397939078532
177,115,193.186567810518
178,115,271.32679495701177
179,115,163.18974931496132
180,115,182.4253471893719
181,115,157.99496230275872
182,115,206.85820978889956
183,115,234.07275304238146
184,115,239.68604111917625
185,115,195.2018236416768
186,115,132.37953201826303
187,115,182.37574845689574
188,115,205.0410501972633
189,115,163.43103858173208
190,115,137.85192937749662
191,115,203.95623575949935
192,115,194.65711830769465
193,115,217.11226462022955
194,115,195.85453752991475
195,115,193.76059170178428
196,115,286.2178859141543
197,115,190.3551494241558
198,115,161.89659739726358
199,115,157.4081842547796
200,120,195.92841498996495
201,120,246.72048342319886
202,120,276.38209454487924
203,120,256.0355877820716
204,120,252.7118459280323
205,120,259.0846261505326
206,120,208.8577753581783
207,120,262.91462143611943
208,120,250.16679292761478
209,120,285.8883101498086
210,120,274.8306835769754
211,120,231.15139297540077
212,120,233.97359121618183
213,120,248.27258667036563
214,120,279.43623225688157
215,120,207.853992193076
216,120,241.044642457872
217,120,207.6883250819808
218,120,258.90027206527566
219,120,252.09443098148859
220,120,252.9410960920186
221,120,184.37965318748365
222,120,201.22231187783314
223,120,240.90707708278228
224,120,223.10627053125359
225,120,237.7000433113992
226,120,272.05691794332984
227,120,232.06923537230477
228,120,217.5761368243932
229,120,230.42802020778822
230,120,269.3541200329071
231,120,208.77309718237188
232,120,235.6997859996377
233,120,209.09529053738015
234,120,290.7343968625396
235,120,300.97617418783057
236,120,283.99151939792387
237,120,216.2029497388803
238,120,175.44114944041166
239,120,278.90749118758185
240,120,186.53113922432613
241,120,202.66315121216303
242,120,224.25444133501878
243,120,228.96646399258725
244,120,210.55372467654115
245,120,259.7208121227202
246,120,239.07315823046997
247,120,191.365067111288
248,120,207.4062752532982
249,120,193.1039994336279
250,120,262.1217233827547
251,120,284.963411247963
252,120,230.98775765022947
253,120,266.9284801421188
254,120,232.09904355062895
255,120,215.49708377910406
256,120,228.78436690359354
257,120,255.82049951513568
258,120,253.30650013194895
259,120,172.07659673962553
260,120,245.1571371850264
261,120,260.09767024778535
262,120,255.27301686949068
263,120,253.3110459813504
264,120,231.0397886679018
265,120,244.36596403833187
266,120,247.64261035861887
267,120,227.8473412538865
268,120,253.5742665495327
269,120,205.3685932027256
270,120,263.47754063015964
271,120,248.76030945804223
272,120,179.72860672724005
273,120,294.0527947301864
274,120,276.3287124345775
275,120,217.67602544362717
276,120,253.83576454655758
277,120,237.0001486272331
278,120,227.4169054201759
